id,name,symbol,slug,num_market_pairs,date_added,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,tags/26,tags/27,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote/USD/price,quote/USD/volume_24h,quote/USD/volume_change_24h,quote/USD/percent_change_1h,quote/USD/percent_change_24h,quote/USD/percent_change_7d,quote/USD/percent_change_30d,quote/USD/percent_change_60d,quote/USD/percent_change_90d,quote/USD/market_cap,quote/USD/market_cap_dominance,quote/USD/fully_diluted_market_cap,quote/USD/tvl,quote/USD/last_updated,tags/28,tags/29,platform/id,platform/name,platform/symbol,platform/slug,platform/token_address
10791,eCash,XEC,ecash,51,2021-07-08T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000000000,19133092173303,18899704673313,,61,,,,2022-08-04T20:15:00.000Z,0.00004294333960666065,9578343.27742697,2.7351,-0.13942561,-1.37968365,-2.27574478,3.42819543,-12.0328859,-40.29488824,821638874.9236916,0.0777,901810131.74,,2022-08-04T20:15:00.000Z,,,,,,,
6719,The Graph,GRT,the-graph,223,2020-12-17T00:00:00.000Z,ai-big-data,enterprise-solutions,defi,coinbase-ventures-portfolio,solana-ecosystem,analytics,coinfund-portfolio,dcg-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,ledgerprime-portfolio,multicoin-capital-portfolio,parafi-capital,polygon-ecosystem,fantom-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosytem,spartan-group,injective-ecosystem,bnb-chain,,,,,,,,10057044431,6900000000,10000000000,,60,,,,2022-08-04T20:15:00.000Z,0.11910814111610893,62437432.03579209,2.7411,-0.27358989,-2.77098091,3.32975398,20.53914831,-25.9377487,-59.45560225,821846173.7011516,0.0777,1197875867.3,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7
1376,Neo,NEO,neo,249,2016-09-08T00:00:00.000Z,platform,enterprise-solutions,smart-contracts,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,70538831,100000000,,62,,,,2022-08-04T20:15:00.000Z,10.737460051670329,48357308.23102055,3.7851,0.03024231,-3.2277478,-2.84392415,25.98518799,-6.73054934,-36.96674299,757407879.9540246,0.0716,1073746005.17,,2022-08-04T20:15:00.000Z,,,,,,,
8000,Lido DAO,LDO,lido-dao,85,2020-12-15T00:00:00.000Z,defi,dao,three-arrows-capital-portfolio,paradigm-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,312951153.95865756,1000000000,,63,531522562.6007307,1278658215.9761608,0.10443592,2022-08-04T20:15:00.000Z,2.4056518122574295,207118938.92264006,-8.3598,0.30674719,-10.3403194,9.41982297,316.47641178,132.25277561,-13.3555325,752851510.6686984,0.0712,2405651812.26,7208741268.8342,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32
19891,USDD,USDD,usdd,70,2022-05-02T08:07:12.000Z,stablecoin,algorithmic-stablecoin,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,,,745332143.61,745332143.61,,64,,,,2022-08-04T20:15:00.000Z,0.9991146435842492,137420222.08658242,59.316,0.00426443,-0.01057874,-0.05165684,0.67732693,-0.15015081,-0.33248801,744672259.0147896,0.0704,744672259.01,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6
5068,Neutrino USD,USDN,neutrino-usd,59,2020-01-30T00:00:00.000Z,defi,stablecoin,algorithmic-stablecoin,bnb-chain,usd-stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,727167200.96793,727167805.028041,,65,,,,2022-08-04T20:15:00.000Z,0.9917193108747515,2416897.42261303,-8.0324,-0.02262209,0.10980713,0.03839019,0.14440407,0.19078178,0.70642276,721145755.4346374,0.0682,721146354.49,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x674C6Ad92Fd080e4004b2312b45f796a192D27a0
6538,Curve DAO Token,CRV,curve-dao-token,305,2020-08-14T00:00:00.000Z,decentralized-exchange,defi,dao,yield-farming,amm,governance,framework-ventures-portfolio,alameda-research-portfolio,polygon-ecosystem,fantom-ecosystem,arbitrum-ecosytem,,,,,,,,,,,,,,,,,,3303030299,522282843.70204073,1797825440.0960028,,66,,,0.11480422,2022-08-04T20:15:00.000Z,1.3197574675869854,191776468.51510274,-20.4425,-0.2746697,-4.85590734,-13.13464814,34.83730124,6.82304222,-43.12654883,689286683.1683346,0.0652,4359198902.77,6004018642.85173,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52
2502,Huobi Token,HT,huobi-token,110,2018-02-03T00:00:00.000Z,marketplace,centralized-exchange,discount-token,payments,algorand-ecosystem,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,500000000,153920626.25441208,500000000,,67,,,,2022-08-04T20:15:00.000Z,4.345472794697898,9332447.51703166,9.0264,-0.07084426,-1.68227892,-3.41267516,-4.23179787,-41.804489,-51.88059384,668857893.9314107,0.0633,2172736397.35,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x6f259637dcd74c767781e37bc6133cd6a68aa161
1274,Waves,WAVES,waves,195,2016-06-02T00:00:00.000Z,lpos,platform,smart-contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,108974326,108974326,,68,,,,2022-08-04T20:15:00.000Z,5.752605174115043,275756358.82841873,37.9303,0.17443847,-0.3975572,1.25836266,7.20663344,-32.21578735,-59.3045979,626886271.5932995,0.0593,626886271.59,,2022-08-04T20:15:00.000Z,,,,,,,
4847,Stacks,STX,stacks,55,2019-10-28T00:00:00.000Z,mineable,platform,collectibles-nfts,defi,smart-contracts,metaverse,arrington-xrp-capital-portfolio,blockchain-capital-portfolio,dcg-portfolio,fabric-ventures-portfolio,hashkey-capital-portfolio,huobi-capital-portfolio,usv-portfolio,web3,injective-ecosystem,,,,,,,,,,,,,,1818000000,1326687150.010343,1352464600,,69,1048765672.087772,494572712.6363512,,2022-08-04T20:15:00.000Z,0.47157599242527465,27208061.41975624,-64.0606,0.64256116,-0.98024478,8.53996718,16.65065089,-12.95187937,-44.98951666,625633809.4039868,0.0592,857325154.23,,2022-08-04T20:15:00.000Z,,,,,,,
2130,Enjin Coin,ENJ,enjin-coin,260,2017-11-01T00:00:00.000Z,media,collectibles-nfts,gaming,ethereum-ecosystem,metaverse,arrington-xrp-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,1000000000,896399955.567558,1000000000,,70,,,,2022-08-04T20:15:00.000Z,0.6787830562835028,288179394.7857113,212.1314,-0.17044639,5.04267759,10.34431313,23.22052746,6.1556062,-35.27363647,608461101.4925431,0.0575,678783056.28,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
4705,PAX Gold,PAXG,pax-gold,80,2019-09-26T00:00:00.000Z,bnb-chain,tokenized-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,339687.165,339687.165,,71,,,,2022-08-04T20:15:00.000Z,1787.848399363048,17793127.53165799,-36.8371,-0.12191601,1.56944772,2.00141787,0.86352406,-4.08102237,-4.93050392,607309154.2294215,0.0574,607309154.23,,2022-08-04T20:15:00.000Z,,,1027,Ethereum,ETH,ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78
